City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Mount Gambier,AU,-37.8333,140.7667,58.91,58,75,10.36,broken clouds
209,Coihaique,CL,-45.5752,-72.0662,61.41,63,75,10.36,light intensity shower rain
210,Kichera,RU,55.9375,110.0997,30.16,86,94,2.3,overcast clouds
211,Langsa,ID,4.4683,97.9683,73.35,98,100,3.11,moderate rain
212,Sanand,IN,22.9833,72.3833,73.62,46,1,3.83,clear sky
213,Norman Wells,CA,65.282,-126.8329,35.64,60,75,11.5,broken clouds
214,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,75,6.91,light rain
215,Mandalgovi,MN,45.7625,106.2708,28.89,56,0,5.21,clear sky
216,Kungurtug,RU,50.5994,97.5228,24.15,72,58,3.09,broken clouds
217,Stephenville,US,32.2207,-98.2023,84.54,60,75,3.44,broken clouds
218,Tucupita,VE,9.0622,-62.051,88.5,54,67,6.58,broken clouds
219,Vanimo,PG,-2.6741,141.3028,76.12,92,100,2.24,overcast clouds
220,Tabou,CI,4.423,-7.3528,77.68,89,59,8.93,light rain
221,Hualmay,PE,-11.0964,-77.6139,69.58,72,44,11.32,scattered clouds
222,Nelipyno,UA,48.561,23.0315,50.5,81,98,4.23,overcast clouds
223,San Cristobal,VE,7.7669,-72.225,78.98,43,11,2.71,few clouds
224,Opuwo,NA,-18.0607,13.84,71.06,38,1,8.61,clear sky
225,Chokurdakh,RU,70.6333,147.9167,-15.66,95,97,2.84,overcast clouds
226,Cumberland,US,35.0502,-78.8664,83.48,36,1,1.99,clear sky
227,Ostrovnoy,RU,68.0531,39.5131,31.08,74,100,13.89,overcast clouds
228,Balakhta,RU,55.38,91.6,37.18,75,85,2.86,overcast clouds
229,Kuznechnoye,RU,61.12,29.8686,43.45,97,100,10.09,moderate rain
230,Flinders,AU,-34.5833,150.8552,59.38,92,43,1.01,scattered clouds
231,Myitkyina,MM,25.3833,97.4,73.24,100,100,0.89,overcast clouds
232,Chicama,PE,-7.8447,-79.1469,61.34,62,61,10.58,broken clouds
233,Launceston,AU,-41.45,147.1667,52.81,91,40,1.01,scattered clouds
234,Turukhansk,RU,65.8167,87.9833,35.22,98,100,8.05,moderate rain
235,Morshansk,RU,53.4435,41.8107,36.45,60,93,11.48,overcast clouds
236,Tiarei,PF,-17.5333,-149.3333,84.22,79,85,8.43,light rain
237,Petropavl,KZ,54.8753,69.1628,47.8,46,100,12.91,overcast clouds
238,Misrikh,IN,27.45,80.5167,71.37,73,8,3.11,clear sky
239,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.59,87,90,9.22,overcast clouds
240,Severo-Kurilsk,RU,50.6789,156.125,34.97,67,90,25.39,overcast clouds
241,Dingli,MT,35.8614,14.3822,64.81,88,0,2.3,clear sky
242,Branford,US,41.2795,-72.8151,77.9,52,5,1.01,clear sky
243,Fauske,NO,67.2588,15.3918,33.84,86,100,9.19,light snow
244,Parsons,US,37.3403,-95.2611,73.11,40,26,11.65,scattered clouds
245,Bilibino,RU,68.0546,166.4372,0.21,98,100,2.53,overcast clouds
246,Hervey Bay,AU,-25.2986,152.8535,64.04,76,5,8.57,clear sky
247,Nanortalik,GL,60.1432,-45.2371,37.44,75,1,1.48,clear sky
248,Pudozh,RU,61.8099,36.5345,32.05,96,100,14.36,snow
249,Duma,CN,34.7653,108.135,35.62,89,59,5.84,broken clouds
250,Okhotsk,RU,59.3833,143.3,11.53,70,94,8.97,overcast clouds
251,Springdale,US,36.1867,-94.1288,73.13,77,90,13.0,overcast clouds
252,Jatibonico,CU,21.9419,-79.17,82.65,75,100,11.34,overcast clouds
253,Avera,US,33.194,-82.5271,78.94,30,61,4.5,broken clouds
254,Aconibe,GQ,1.2968,10.9369,67.96,99,100,2.17,light rain
255,Malakal,SS,9.5334,31.6605,74.79,80,76,3.24,broken clouds
256,Kochi,IN,9.9399,76.2602,75.18,94,100,6.62,light rain
257,San Jose De Buan,PH,12.0529,125.0251,73.13,99,63,1.77,broken clouds
258,Bethel,US,41.3712,-73.414,76.69,54,77,3.0,broken clouds
259,Komsomolskiy,UZ,40.4272,71.7189,60.22,41,100,4.61,overcast clouds
260,Kanker,IN,20.2719,81.4931,70.11,82,48,2.57,scattered clouds
261,Shubarkuduk,KZ,49.1447,56.4872,36.28,84,95,15.75,overcast clouds
262,Odessa,UA,46.4775,30.7326,53.53,87,0,11.18,clear sky
263,Surt,LY,31.2089,16.5887,72.55,71,60,14.81,broken clouds
264,Nome,US,64.5011,-165.4064,33.17,96,100,12.8,snow
265,Abu Samrah,SY,35.3029,37.1841,65.19,61,0,5.37,clear sky
266,Cabo San Lucas,MX,22.8909,-109.9124,90.61,69,15,8.99,few clouds
